key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,volstandard,voldeviant,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,RegStandardPitch,RegDeviantPitch,key_resp_6.keys,key_resp_6.rt,RegAudSequence,diff-reg,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_7.keys,key_resp_7.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,standard,devient,key_resp_8.keys,key_resp_8.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_9.keys,key_resp_9.rt
space,5.1131,space,1.6741,space,1.783,0,0,0,0,1,RegPatterns/01-ms_2_2_4_1_3_unit230.mp3,RegPatterns/01d-ms_2_2_4_3_1_unit230.mp3,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,space,2.6757,g,0.8887,0,0,0,0,1,RegPatterns/Noise.mp3,RegPatterns/Noise.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,space,59.4599,RegPatterns/09-ms_2_1_1_1_3_4_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/09-ms_2_1_1_1_3_4_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/09d-ms_2_1_1_3_1_4_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,3,2.2291,0,0,0,2,1,RegPatterns/09-ms_2_1_1_1_3_4_unit270.mp3,RegPatterns/09d-ms_2_1_1_3_1_4_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/14d-ms_2_1_1_4_3_1_unit250.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,2,0.385,0,1,1,4,1,RegPatterns/14-ms_2_1_1_4_1_3_unit250.mp3,RegPatterns/14d-ms_2_1_1_4_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/29d-ms_3_1_2_1_1_3_1_unit250.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,3,80.7378,0,2,2,9,1,RegPatterns/29-ms_3_1_2_1_1_1_3_unit250.mp3,RegPatterns/29d-ms_3_1_2_1_1_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/02-ms_3_1_4_1_3_unit250.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/02-ms_3_1_4_1_3_unit250.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/02d-ms_3_1_4_3_1_unit250.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,2,0.72,0,3,3,0,1,RegPatterns/02-ms_3_1_4_1_3_unit250.mp3,RegPatterns/02d-ms_3_1_4_3_1_unit250.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/20d-ms_2_1_1_2_2_1_3_unit230.mp3,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/20-ms_2_1_1_2_2_3_1_unit230.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/20-ms_2_1_1_2_2_3_1_unit230.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,1,0.3507,0,4,4,11,1,RegPatterns/20-ms_2_1_1_2_2_3_1_unit230.mp3,RegPatterns/20d-ms_2_1_1_2_2_1_3_unit230.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/03-ms_3_1_4_2_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/03d-ms_1_3_4_2_2_unit270.mp3,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/03-ms_3_1_4_2_2_unit270.mp3,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,2,0.2343,0,5,5,1,1,RegPatterns/03-ms_3_1_4_2_2_unit270.mp3,RegPatterns/03d-ms_1_3_4_2_2_unit270.mp3,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/12-ms_3_1_1_3_2_2_unit270.mp3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/12-ms_3_1_1_3_2_2_unit270.mp3,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,RegPatterns/12d-ms_3_1_3_1_2_2_unit270.mp3,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,train3_audtrain2,2023-11-10_11h26.00.244,AudTraining2,2021.2.3,Win32,59.47778505,,,,,,,,,,,,,,,,,,,,,3,0.1768,0,6,6,3,1,RegPatterns/12-ms_3_1_1_3_2_2_unit270.mp3,RegPatterns/12d-ms_3_1_3_1_2_2_unit270.mp3,,,,,,,,,
