Name,AudReg
train10_audtrain2_2023-11-09,0.83
train10_audtrain2_2023-11-10,0.97
train10_audtrain2_2023-11-11,0.97
train10_audtrain2_2023-11-13,0.86
train10_audtrain2_2023-11-14,0.97
train10_audtrain2_2023-11-15,0.94
train10_audtrain2_2023-11-16,0.89
train10_audtrain2_2023-11-17,0.92
train10_audtrain2_2023-11-19,0.94
train10_audtrain2_2023-11-20,1
train10_audtrain2_2023-11-21,0.81
train10_audtrain2_2023-11-23,0.96
train20_audtrain2_2023-11-13,0.63
train20_audtrain2_2023-11-14,0.64
train20_audtrain2_2023-11-15,0.56
train20_audtrain2_2023-11-16,0.78
train20_audtrain2_2023-11-17,0.81
train20_audtrain2_2023-11-18,0.58
train20_audtrain2_2023-11-19,0.69
train20_audtrain2_2023-11-20,0.56
train20_audtrain2_2023-11-21,0.78
train20_audtrain2_2023-11-22,0.53
train20_audtrain2_2023-11-23,0.67
train20_audtrain2_20231127,0.54
train23_audtrain1_2023-11-15,0.88
train23_audtrian1_2023-11-15,0.83
train23_audtrian1_2023-11-16,0.89
train23_audtrian1_2023-11-17,0.92
train23_audtrian1_2023-11-18,0.86
train23_audtrian1_2023-11-19,0.94
train23_audtrian1_2023-11-20,0.94
train23_audtrian1_2023-11-21,0.94
train23_audtrian1_2023-11-22,0.89
train23_audtrian1_2023-11-23,0.89
train23_audtrian1_2023-11-24,0.89
train23_audtrain1_2023-11-27,0.96
train34_audtrain1_2023-11-18,0.88
train34_audtrain1_2023-11-20,0.81
train34_audtrain1_2023-11-24,0.94
train34_audtrain1_2023-11-25,0.89
train34_audtrain1_2023-11-26,0.94
train34_audtrain1_2023-11-27,0.97
train34_audtrain1_2023-11-28,0.22
train34_audtrain1_2023-11-29,0.92
train34_audtrain1_2023-11-30,0.89
train34_audtrain1_2023-12-01,0.92
train34_audtrain1_2023-12-02,0.97
train34_audtrain1_2023-12-03,1
train37_audtrain2_2023-11-18,0.67
train37_audtrain2_2023-11-19,0.53
train37_audtrain2_2023-11-20,0.67
train37_audtrain2_2023-11-22,0.5
train37_audtrain2_2023-11-24,0.81
train37_audtrain2_2023-11-25,0.39
train37_audtrain2_2023-11-26,0.56
train37_audtrain2_2023-11-27,0.67
train37_audtrain2_2023-11-28,0.44
train37_audtrain2_2023-11-29,0.81
train37_audtrain2_2023-11-30,0.44
train37_audtrain2_2023-12-01,0.79
train39_audtrain1_2023-11-19,0.63
train39_audtrain1_2023-11-21,0.64
train39_audtrain1_2023-11-22,0.67
train39_audtrain1_2023-11-23,0.61
train39_audtrain1_2023-11-24,0.72
train39_audtrain1_2023-11-25,0.78
train39_audtrain1_2023-11-26,0.81
train39_audtrain1_2023-11-27,0.75
train39_audtrain1_2023-11-28,0.81
train39_audtrain1_2023-11-29,0.83
train39_audtrain1_2023-11-30,0.75
train39_audtrain1_2023-12-03,0.71
train3_audtrain2_2023-11-06,0.54
train3_audtrain2_2023-11-07,0.61
train3_audtrain2_2023-11-08,0.5
train3_audtrain2_2023-11-09,0.31
train3_audtrain2_2023-11-10,0.58
train3_audtrain2_2023-11-11,0.47
train3_audtrain2_2023-11-12,0.53
train3_audtrain2_2023-11-13,0.33
train3_audtrain2_2023-11-14,0.33
train3_audtrain2_2023-11-15,0.31
train3_audtrain2_2023-11-16,0.36
train3_audtrain2_2023-11-20,0.54
train42_audtrain2_2023-11-22,0.42
train42_audtrain2_2023-11-24,0.53
train42_audtrain2_2023-11-25,0.67
train42_audtrain2_2023-11-26,0.53
train42_audtrain2_2023-11-28,0.56
train42_audtrain2_2023-11-29,0.5
train42_audtrain2_2023-12-01,0.44
train42_audtrain2_2023-12-02,0.53
train42_audtrain2_2023-12-03,0.5
train42_audtrain2_2023-12-04,0.64
train42_audtrain2_2023-12-05,0.39
train42_audtrain2_2023-12-06,0.63
train46_audtrain1_2023-11-23,0.46
train46_audtrain1_2023-11-24,0.28
