,Participant,"1AudReg
[2,1,1,3,1,1,3],[2,1,1,3,1,1,3],[2,1,1,3,1,3,1]","2AudReg
[3,1,4,1,3],[3,1,4,1,3],[3,1,4,3,1]","1AudReg
[2,1,1,2,2,4],[2,1,1,2,2,4],[1,1,2,2,2,4]","2AudReg
[2,1,1,2,2,1,3],[2,1,1,2,2,3,1],[2,1,1,2,2,3,1]","2AudReg
[2,1,1,4,1,3],[2,1,1,4,3,1],[2,1,1,4,1,3]","1AudReg
[1,1,2,3,1,1,3],[1,1,2,3,1,3,1],[1,1,2,3,1,1,3]","2AudReg
[3,1,4,2,2],[1,3,4,2,2],[3,1,4,2,2]","2AudReg
[1,1,2,2,1,1,4],[1,1,2,2,1,1,4],[1,1,2,1,1,2,4]","1AudReg
[1,1,2,3,1,4],[1,1,2,3,1,4],[1,1,2,1,3,4]","2AudReg
[2,1,1,3,1,4],[2,1,1,1,3,4],[2,1,1,1,3,4]","1AudReg
[4,2,1,1,2,1,1],[4,2,2,1,1,1,1],[4,2,2,1,1,1,1]","1AudReg
[2,2,3,1,3,1],[2,2,3,1,1,3],[2,2,3,1,1,3]","2AudReg
[1,3,2,2,1,1,2],[3,1,2,2,1,1,2],[3,1,2,2,1,1,2]","1AudReg
[2,1,1,2,1,1,4],[2,2,1,1,1,1,4],[2,2,1,1,1,1,4]","2AudReg
[3,1,2,1,1,3,1],[3,1,2,1,1,1,3],[3,1,2,1,1,1,3]","1AudReg
[4,1,1,2,3,1],[4,1,1,2,3,1],[4,1,1,2,1,3]","1AudReg
[2,2,1,3,3,1],[2,2,1,3,3,1],[2,2,1,3,1,3]","1AudReg
[4,3,1,2,2],[4,1,3,2,2],[4,3,1,2,2]","2AudReg
[1,1,2,3,1,2,2],[1,1,2,1,3,2,2],[1,1,2,3,1,2,2]","2AudReg
[3,1,1,3,2,2],[3,1,3,1,2,2],[3,1,1,3,2,2]","2AudReg
[4,2,2,1,1,2],[4,2,2,2,1,1],[4,2,2,1,1,2]","1AudReg
[4,1,1,1,1,3,1],[4,1,1,1,1,3,1],[4,1,1,1,1,1,3]","2AudReg
[3,1,2,2,3,1],[3,1,2,2,1,3],[3,1,2,2,1,3]","1AudReg
[4,1,3,3,1],[4,3,1,3,1],[4,1,3,3,1]",group,Time
0,train10_audtrain2_2023-11-09,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,aud,Pre
1,train10_audtrain2_post_2023-11-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,aud,Post
2,train11_vistrain2_2023-11-09,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,vis,Pre
3,train11_vistrain2_post_2023-11-23,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,vis,Post
4,train14_notrain_2023-11-10,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,notrain,Pre
5,train14_notrain_post_2023-11-28,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,notrain,Post
8,train16_vistrain2_2023-11-12,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,vis,Pre
9,train16_vistrain2_post_2023-11-24,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,vis,Post
14,train19_vistrain1_2023-11-13,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,vis,Pre
15,train19_vistrain1_post_2023-11-26,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,vis,Post
18,train20_audtrain2_2023-11-13,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,aud,Pre
19,train20_audtrain2_post_2023-11-27,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,aud,Post
20,train21_vistrain2_2023-11-14,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,vis,Pre
21,train21_vistrain2_post_2023-11-30,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,vis,Post
22,train22_vistrain1_2023-11-15,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,vis,Pre
