Name,VisReg
train11_vistrain2_2023-11-09,0.29
train11_vistrain2_2023-11-10,0.33
train11_vistrain2_2023-11-12,0.31
train11_vistrain2_2023-11-13,0.28
train11_vistrain2_2023-11-14,0.39
train11_vistrain2_2023-11-15,0.31
train11_vistrain2_2023-11-17,0.39
train11_vistrain2_2023-11-18,0.28
train11_vistrain2_2023-11-20,0.47
train11_vistrain2_2023-11-21,0.36
train11_vistrain2_2023-11-22,0.25
train11_vistrain2_2023-11-23,0.42
train16_vistrain2_2023-11-12,0.42
train16_vistrain2_2023-11-14,0.44
train16_vistrain2_2023-11-15,0.42
train16_vistrain2_2023-11-16,0.5
train16_vistrain2_2023-11-17,0.36
train16_vistrain2_2023-11-18,0.42
train16_vistrain2_2023-11-19,0.64
train16_vistrain2_2023-11-20,0.69
train16_vistrain2_2023-11-21,0.53
train16_vistrain2_2023-11-22,0.58
train16_vistrain2_2023-11-24,0.56
train16_vistrain2_2023-11-25,0.42
train19_vistrain1_2023-11-13,0.33
train19_vistrain1_2023-11-14,0.44
train19_vistrain1_2023-11-15,0.39
train19_vistrain1_2023-11-16,0.36
train19_vistrain1_2023-11-17,0.22
train19_vistrain1_2023-11-18,0.33
train19_vistrain1_2023-11-20,0.42
train19_vistrain1_2023-11-21,0.42
train19_vistrain1_2023-11-22,0.25
train19_vistrain1_2023-11-24,0.39
train19_vistrain1_2023-11-25,0.31
train19_vistrain1_2023-11-26,0.75
train21_vistrain2_2023-11-14,0.33
train21_vistrain2_2023-11-16,0.47
train21_vistrain2_2023-11-17,0.61
train21_vistrain2_2023-11-18,0.39
train21_vistrain2_2023-11-19,0.31
train21_vistrain2_2023-11-20,0.56
train21_vistrain2_2023-11-21,0.42
train21_vistrain2_2023-11-24,0.25
train21_vistrain2_2023-11-25,0.28
train21_vistrain2_2023-11-27,0.31
train21_vistrain2_2023-11-29,0.25
train21_vistrain2_2023-11-30,0.33
train22_vistrain1_2023-11-15,0.54
train22_vistrain1_2023-11-16,0.56
train22_vistrain1_2023-11-18,0.56
train22_vistrain1_2023-11-19,0.78
train22_vistrain1_2023-11-20,0.53
train22_vistrain1_2023-11-21,0.53
train22_vistrain1_2023-11-23,0.39
train22_vistrain1_2023-11-24,0.58
train22_vistrain1_2023-11-25,0.39
train22_vistrain1_2023-11-26,0.33
train22_vistrain1_2023-11-27,0.67
train22_vistrain1_2023-11-29,0.63
train25_vistrain2_2023-11-16,0.83
train25_vistrain2_2023-11-17,0.53
train25_vistrain2_2023-11-18,0.78
train25_vistrain2_2023-11-19,0.69
train25_vistrain2_2023-11-20,0.67
train25_vistrain2_2023-11-21,0.75
train25_vistrain2_2023-11-22,0.75
train25_vistrain2_2023-11-23,0.56
train25_vistrain2_2023-11-24,0.69
train25_vistrain2_2023-11-25,0.42
train25_vistrain2_2023-11-26,0.58
train25_vistrain2_2023-11-28,0.83
train2_vistrain1_2023-11-06,0.38
train2_vistrain1_2023-11-07,0.33
train2_vistrain1_2023-11-08,0.28
train2_vistrain1_2023-11-09,0.22
train2_vistrain1_2023-11-10,0.22
train2_vistrain1_2023-11-11,0.39
train2_vistrain1_2023-11-12,0.28
train2_vistrain1_2023-11-13,0.33
train2_vistrain1_2023-11-14,0.28
train2_vistrain1_2023-11-15,0.28
train2_vistrain1_2023-11-16,0.36
train2_vistrain1_2023-11-20,0.42
train31_vistrain1_2023-11-17,0.58
train31_vistrain1_2023-11-18,0.31
train31_vistrain1_2023-11-19,0.44
train31_vistrain1_2023-11-20,0.44
